# liars-dice scripted-baseline threshold sweep
# harness: tools/tune_baseline.nim
# lattice: chal 0.05..0.55, safe 0.25..0.70, step 0.05 (110 points)
# design: full round robin, 4 seats, two seats per point, both seatings,
#         24 seeds x 30 deals x 2 mode(s) = 586080 episodes (133290 ms)
# score: mean sim.score over every seat the point held (0.5 = break even vs the lattice)
# shipped point: 0.15/0.35 (BayesChallenge/BayesSafe), rank 8 of 110
# grid optimum: 0.10/0.30 score 0.51884; shipped 0.51872; paired gap 0.00011 (2 s.e. band 0.00034) -> tied
# plateau: 10 of 110 points are paired-tied with the optimum (2 s.e. of the paired difference)
rank	chal	safe	score	seSeed	vsPressure	tiedWithBest	shipped
1	0.10	0.30	0.51884	0.00213	0.51753	tied	
2	0.10	0.25	0.51881	0.00211	0.51858	tied	
3	0.10	0.40	0.51879	0.00210	0.51797	tied	
4	0.15	0.30	0.51879	0.00209	0.51806	tied	
5	0.15	0.25	0.51877	0.00213	0.51571	tied	
6	0.10	0.35	0.51873	0.00209	0.51988	tied	
7	0.20	0.35	0.51873	0.00208	0.51901	tied	
8	0.15	0.35	0.51872	0.00211	0.51753	tied	<-- SHIPPED
9	0.20	0.40	0.51867	0.00215	0.51684	tied	
10	0.15	0.40	0.51849	0.00216	0.51771	tied	
11	0.20	0.25	0.51846	0.00213	0.51840	-	
12	0.20	0.30	0.51840	0.00213	0.51788	-	
13	0.05	0.40	0.51424	0.00248	0.51354	-	
14	0.05	0.25	0.51419	0.00250	0.51102	-	
15	0.05	0.35	0.51410	0.00245	0.51042	-	
16	0.05	0.30	0.51407	0.00244	0.51050	-	
17	0.15	0.45	0.51250	0.00154	0.51345	-	
18	0.20	0.45	0.51239	0.00145	0.51363	-	
19	0.10	0.45	0.51231	0.00152	0.51441	-	
20	0.05	0.45	0.51202	0.00161	0.51102	-	
21	0.35	0.30	0.51172	0.00139	0.51493	-	
22	0.35	0.25	0.51171	0.00137	0.51510	-	
23	0.30	0.25	0.51168	0.00141	0.51580	-	
